"DR_NO","Date.Rptd","DATE.OCC","TIME.OCC","AREA","AREA.NAME","Rpt.Dist.No","Part.1.2","Crm.Cd","Crm.Cd.Desc","Mocodes","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Weapon.Used.Cd","Weapon.Desc","Status","Status.Desc","Crm.Cd.1","Crm.Cd.2","Crm.Cd.3","Crm.Cd.4","LOCATION","Cross.Street","LAT","LON"
201010629,"07/02/2020 12:00:00 AM","07/02/2020 12:00:00 AM",1130,10,"West Valley",1017,2,624,"BATTERY - SIMPLE ASSAULT","0400 0416 0913 0361 0603",56,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"17400    VALERIO                      ST","",34.2054,-118.5125
200211826,"06/26/2020 12:00:00 AM","06/26/2020 12:00:00 AM",1000,2,"Rampart",256,2,624,"BATTERY - SIMPLE ASSAULT","0400 0444 1822",28,"F","H",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"1700 W  6TH                          ST","",34.0573,-118.2699
210706493,"03/09/2021 12:00:00 AM","03/09/2021 12:00:00 AM",2310,7,"Wilshire",735,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0302 1309 1218 1419 1822",32,"M","H",103,"ALLEY",106,"UNKNOWN FIREARM","AO","Adult Other",230,998,NA,NA,"6TH","LA BREA",34.0649,-118.344
200506733,"03/04/2020 12:00:00 AM","03/03/2020 12:00:00 AM",2000,5,"Harbor",566,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0311 1300 0329",46,"M","O",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",740,NA,NA,NA,"400 W  13TH                         ST","",33.7324,-118.2857
221804700,"01/15/2022 12:00:00 AM","01/15/2022 12:00:00 AM",1315,18,"Southeast",1826,2,624,"BATTERY - SIMPLE ASSAULT","0913 1276 0416 0432",20,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"9100    COMPTON                      AV","",33.9543,-118.2475
201614132,"10/22/2020 12:00:00 AM","10/22/2020 12:00:00 AM",2000,16,"Foothill",1684,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","1822 0443",55,"M","B",101,"STREET",511,"VERBAL THREAT","IC","Invest Cont",930,NA,NA,NA,"LANKERSHIM","STRATHERN",34.2157,-118.3878
211111349,"07/30/2021 12:00:00 AM","03/18/2021 12:00:00 AM",1600,11,"Northeast",1178,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","0401 0913 1814",33,"M","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"400    ISABEL                       ST","",34.0899,-118.2199
211505731,"02/16/2021 12:00:00 AM","02/15/2021 12:00:00 AM",2200,15,"N Hollywood",1535,1,510,"VEHICLE - STOLEN","",0,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"11400    MIRANDA                      ST","",34.1749,-118.379
220811675,"06/09/2022 12:00:00 AM","06/07/2022 12:00:00 AM",1200,8,"West LA",821,1,480,"BIKE - STOLEN","0344 1822",31,"F","W",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",480,NA,NA,NA,"17000    PACIFIC COAST                HY","",34.0387,-118.5439
201409177,"04/02/2020 12:00:00 AM","04/02/2020 12:00:00 AM",1840,14,"Pacific",1469,1,210,"ROBBERY","0344 1822 0342 0432 0355",18,"F","W",102,"SIDEWALK",515,"PHYSICAL PRESENCE","IC","Invest Cont",210,NA,NA,NA,"7200 S  LA CIENEGA                   BL","",33.9761,-118.3726
210319382,"11/20/2021 12:00:00 AM","11/06/2021 12:00:00 AM",2130,3,"Southwest",376,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1309 0342 1822 0302 1257",0,"M","B",501,"SINGLE FAMILY DWELLING",102,"HAND GUN","IC","Invest Cont",230,NA,NA,NA,"3900    DENKER                       AV","",34.0153,-118.3045
210708950,"05/23/2021 12:00:00 AM","05/23/2021 12:00:00 AM",800,7,"Wilshire",701,1,320,"BURGLARY, ATTEMPTED","1607",0,"X","X",503,"HOTEL",NA,"","IC","Invest Cont",320,NA,NA,NA,"7900    MELROSE                      AV","",34.0838,-118.3621
211108065,"04/28/2021 12:00:00 AM","04/28/2021 12:00:00 AM",1900,11,"Northeast",1134,1,510,"VEHICLE - STOLEN","",0,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"3200    VERDUGO                      RD","",34.1098,-118.2367
201209948,"03/25/2020 12:00:00 AM","03/24/2020 12:00:00 AM",700,12,"77th Street",1211,1,310,"BURGLARY","1822 1609 0329 0344 1267",26,"M","O",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",310,NA,NA,NA,"5400    6TH                          AV","",33.9932,-118.3236
200307854,"03/02/2020 12:00:00 AM","03/02/2020 12:00:00 AM",1700,3,"Southwest",393,2,624,"BATTERY - SIMPLE ASSAULT","0400 0913 1202",60,"M","B",501,"SINGLE FAMILY DWELLING",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",624,NA,NA,NA,"4200    MC CLUNG                     DR","",34.0085,-118.3341
220508084,"04/16/2022 12:00:00 AM","04/16/2022 12:00:00 AM",1250,5,"Harbor",512,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","1300 0329",56,"M","H",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",745,NA,NA,NA,"1300    ANAHEIM                      ST","",33.7835,-118.3
220617200,"10/06/2022 12:00:00 AM","10/06/2022 12:00:00 AM",1800,6,"Hollywood",643,2,624,"BATTERY - SIMPLE ASSAULT","0400 0416 1822 2002 0444 0334 0443 0446 1206",56,"M","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"1500 N  LA BREA                      AV","",34.1007,-118.3494
211704083,"01/02/2021 12:00:00 AM","01/02/2021 12:00:00 AM",1000,17,"Devonshire",1767,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329",53,"F","B",104,"DRIVEWAY",NA,"","IC","Invest Cont",740,NA,NA,NA,"18600    PRAIRIE                      ST","",34.2442,-118.5362
200709252,"05/14/2020 12:00:00 AM","05/14/2020 12:00:00 AM",2025,7,"Wilshire",749,1,210,"ROBBERY","1822 0325 1402 0945",19,"M","O",402,"MARKET",201,"KNIFE WITH BLADE OVER 6 INCHES IN LENGTH","IC","Invest Cont",210,998,NA,NA,"900    CRENSHAW                     BL","",34.0585,-118.3262
210121263,"11/29/2021 12:00:00 AM","11/29/2021 12:00:00 AM",1250,1,"Central",152,2,624,"BATTERY - SIMPLE ASSAULT","0917 1822 0448 2003",32,"F","H",738,"LIBRARY",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"600 W  5TH                          ST","",34.0502,-118.2539
221306257,"02/14/2022 12:00:00 AM","02/13/2022 12:00:00 AM",2150,13,"Newton",1371,1,510,"VEHICLE - STOLEN","",0,"","",101,"STREET",NA,"","AA","Adult Arrest",510,NA,NA,NA,"5300 S  BROADWAY","",33.9942,-118.2783
201405970,"02/01/2020 12:00:00 AM","02/01/2020 12:00:00 AM",1658,14,"Pacific",1494,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","1822 0344",39,"M","O",212,"TRANSPORTATION FACILITY (AIRPORT)",NA,"","AO","Adult Other",440,NA,NA,NA,"300    WORLD                        WY","",33.944,-118.4073
221415738,"08/27/2022 12:00:00 AM","08/26/2022 12:00:00 AM",730,14,"Pacific",1434,1,210,"ROBBERY","2004 1822 1236 0334 0445 0432 0945 0325",0,"X","X",401,"MINI-MART",207,"OTHER KNIFE","AA","Adult Arrest",210,NA,NA,NA,"12400    VENICE                       BL","",33.9974,-118.4463
210509016,"05/11/2021 12:00:00 AM","05/10/2021 12:00:00 AM",1800,5,"Harbor",569,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","1309 0913 0344 1310 1814",20,"F","H",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",440,NA,NA,NA,"1100    NAGOYA                       WY","",33.7322,-118.2769
211812264,"06/18/2021 12:00:00 AM","06/18/2021 12:00:00 AM",2000,18,"Southeast",1842,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344 1822",31,"M","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",440,NA,NA,NA,"10900 S  FIGUEROA                     ST","",33.9369,-118.2826
221319440,"10/17/2022 12:00:00 AM","05/14/2020 12:00:00 AM",2100,13,"Newton",1367,2,624,"BATTERY - SIMPLE ASSAULT","0416 2000 0913 0444",0,"","",121,"YARD (RESIDENTIAL/BUSINESS)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"VERNON                       AV","ALAMEDA                      ST",34.0039,-118.2392
201515679,"09/27/2020 12:00:00 AM","06/25/2020 12:00:00 AM",1255,15,"N Hollywood",1529,2,354,"THEFT OF IDENTITY","0928",42,"M","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",354,NA,NA,NA,"10600    VICTORY                      BL","",34.186,-118.3616
221807167,"03/09/2022 12:00:00 AM","03/09/2022 12:00:00 AM",630,18,"Southeast",1841,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1822 1300 0329 1307 0416 0432",67,"M","B",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",230,NA,NA,NA,"800 W  IMPERIAL                     HY","",33.9367,-118.2871
201819050,"10/17/2020 12:00:00 AM","10/17/2020 12:00:00 AM",2350,18,"Southeast",1844,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1822 1100 1300 1310 0430",26,"F","B",101,"STREET",106,"UNKNOWN FIREARM","IC","Invest Cont",230,NA,NA,NA,"108TH                        ST","AVALON                       BL",33.9383,-118.2652
200500543,"02/08/2020 12:00:00 AM","02/08/2020 12:00:00 AM",1545,5,"Harbor",581,2,860,"BATTERY WITH SEXUAL CONTACT","0448 0500 0551 1814 0913",53,"F","W",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",860,NA,NA,NA,"2600    GUNNELL                      AV","",33.7242,-118.3193
211220902,"10/04/2021 12:00:00 AM","10/04/2021 12:00:00 AM",1945,12,"77th Street",1251,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344 1822",29,"M","H",108,"PARKING LOT",NA,"","IC","Invest Cont",440,NA,NA,NA,"FLORENCE","CRENSHAW",33.9745,-118.3309
